Месец,Број/Површина ( во m2 ),"Видови објекти од високоградба, број/површина ( во m2 )",value
2013М05,Број,122 Деловни згради,2
2013М05,Број,123 Згради во трговијата на големо и на мало,10
2013М05,Број,124 Згради за сообраќај и други комуникации,2
2013М05,Број,125 Индустриски згради и складишта,15
2013М05,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1
2013М05,Број,127 Други нестанбени згради,2
2013М06,Број,11 Станови во станбени објекти (згради),199
2013М06,Број,111 Станови во објекти (згради) со еден стан,76
2013М06,Број,112 Станови во објекти (згради) со два и повеќе стана,123
2013М06,Број,12 Нестанбени згради,25
2013М06,Број,121 Хотели и слични згради,1
2013М06,Број,123 Згради во трговијата на големо и на мало,6
2013М06,Број,124 Згради за сообраќај и други комуникации,2
2013М06,Број,125 Индустриски згради и складишта,15
2013М06,Број,127 Други нестанбени згради,1
2013М07,Број,11 Станови во станбени објекти (згради),324
2013М07,Број,111 Станови во објекти (згради) со еден стан,62
2013М07,Број,112 Станови во објекти (згради) со два и повеќе стана,262
2013М07,Број,12 Нестанбени згради,25
2013М07,Број,121 Хотели и слични згради,1
2013М07,Број,122 Деловни згради,2
2013М07,Број,123 Згради во трговијата на големо и на мало,4
2013М07,Број,125 Индустриски згради и складишта,13
2013М07,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1
2013М07,Број,127 Други нестанбени згради,4
2013M08,Број,11 Станови во станбени објекти (згради),218
2013M08,Број,111 Станови во објекти (згради) со еден стан,41
2013M08,Број,112 Станови во објекти (згради) со два и повеќе стана,177
2013M08,Број,12 Нестанбени згради,14
2013M08,Број,121 Хотели и слични згради,1
2013M08,Број,122 Деловни згради,1
2013M08,Број,123 Згради во трговијата на големо и на мало,4
2013M08,Број,124 Згради за сообраќај и други комуникации,1
2013M08,Број,125 Индустриски згради и складишта,4
2013M08,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1
2013M08,Број,127 Други нестанбени згради,2
2013M09,Број,11 Станови во станбени објекти (згради),502
2013M09,Број,111 Станови во објекти (згради) со еден стан,35
2013M09,Број,112 Станови во објекти (згради) со два и повеќе стана,467
2013M09,Број,12 Нестанбени згради,13
2013M09,Број,123 Згради во трговијата на големо и на мало,7
2013M09,Број,124 Згради за сообраќај и други комуникации,1
2013M09,Број,125 Индустриски згради и складишта,4
2013M09,Број,127 Други нестанбени згради,1
2013M10,Број,11 Станови во станбени објекти (згради),347
2013M10,Број,111 Станови во објекти (згради) со еден стан,52
2013M10,Број,112 Станови во објекти (згради) со два и повеќе стана,295
2013M10,Број,12 Нестанбени згради,20
2013M10,Број,121 Хотели и слични згради,1
2013M10,Број,123 Згради во трговијата на големо и на мало,6
2013M10,Број,124 Згради за сообраќај и други комуникации,1
2013M10,Број,125 Индустриски згради и складишта,11
2013M10,Број,127 Други нестанбени згради,1
2013M11,Број,11 Станови во станбени објекти (згради),414
2013M11,Број,111 Станови во објекти (згради) со еден стан,92
2013M11,Број,112 Станови во објекти (згради) со два и повеќе стана,322
2013M11,Број,12 Нестанбени згради,37
2013M11,Број,122 Деловни згради,3
2013M11,Број,123 Згради во трговијата на големо и на мало,8
2013M11,Број,124 Згради за сообраќај и други комуникации,3
2013M11,Број,125 Индустриски згради и складишта,20
2013M11,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1
2013M11,Број,127 Други нестанбени згради,2
2013M12,Број,11 Станови во станбени објекти (згради),336
2013M12,Број,111 Станови во објекти (згради) со еден стан,109
2013M12,Број,112 Станови во објекти (згради) со два и повеќе стана,227
2013M12,Број,12 Нестанбени згради,37
2013M12,Број,121 Хотели и слични згради,3
2013M12,Број,122 Деловни згради,3
2013M12,Број,123 Згради во трговијата на големо и на мало,6
2013M12,Број,125 Индустриски згради и складишта,20
2013M12,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1
2013M12,Број,127 Други нестанбени згради,4
2014M01,Број,11 Станови во станбени објекти (згради),632
2014M01,Број,111 Станови во објекти (згради) со еден стан,68
2014M01,Број,112 Станови во објекти (згради) со два и повеќе стана,564
2014M01,Број,12 Нестанбени згради,26
2014M01,Број,121 Хотели и слични згради,4
2014M01,Број,122 Деловни згради,3
2014M01,Број,123 Згради во трговијата на големо и на мало,2
2014M01,Број,124 Згради за сообраќај и други комуникации,1
2014M01,Број,125 Индустриски згради и складишта,8
2014M01,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2
2014M01,Број,127 Други нестанбени згради,6
2014M02,Број,11 Станови во станбени објекти (згради),445
2014M02,Број,111 Станови во објекти (згради) со еден стан,83
2014M02,Број,112 Станови во објекти (згради) со два и повеќе стана,362
2014M02,Број,12 Нестанбени згради,29
2014M02,Број,121 Хотели и слични згради,2
2014M02,Број,122 Деловни згради,1
2014M02,Број,123 Згради во трговијата на големо и на мало,7
2014M02,Број,125 Индустриски згради и складишта,15
2014M02,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2
2014M02,Број,127 Други нестанбени згради,2
2014M03,Број,11 Станови во станбени објекти (згради),592
2014M03,Број,111 Станови во објекти (згради) со еден стан,125
2014M03,Број,112 Станови во објекти (згради) со два и повеќе стана,467
2014M03,Број,12 Нестанбени згради,28
2014M03,Број,121 Хотели и слични згради,3
2014M03,Број,122 Деловни згради,2
2014M03,Број,123 Згради во трговијата на големо и на мало,7
2014M03,Број,125 Индустриски згради и складишта,10
2014M03,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",3
2014M03,Број,127 Други нестанбени згради,3
2014M04,Број,11 Станови во станбени објекти (згради),422
2014M04,Број,111 Станови во објекти (згради) со еден стан,86
2014M04,Број,112 Станови во објекти (згради) со два и повеќе стана,336
2014M04,Број,12 Нестанбени згради,21
2014M04,Број,121 Хотели и слични згради,1
2014M04,Број,122 Деловни згради,1
2014M04,Број,123 Згради во трговијата на големо и на мало,6
2014M04,Број,125 Индустриски згради и складишта,6
2014M04,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",3
2014M04,Број,127 Други нестанбени згради,4
2014M05,Број,11 Станови во станбени објекти (згради),504
2014M05,Број,111 Станови во објекти (згради) со еден стан,99
2014M05,Број,112 Станови во објекти (згради) со два и повеќе стана,405
2014M05,Број,12 Нестанбени згради,17
2014M05,Број,121 Хотели и слични згради,1
2014M05,Број,122 Деловни згради,2
2014M05,Број,123 Згради во трговијата на големо и на мало,5
2014M05,Број,125 Индустриски згради и складишта,3
2014M05,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1
2014M05,Број,127 Други нестанбени згради,5
2014M06,Број,11 Станови во станбени објекти (згради),292
2014M06,Број,111 Станови во објекти (згради) со еден стан,83
2014M06,Број,112 Станови во објекти (згради) со два и повеќе стана,209
2014M06,Број,12 Нестанбени згради,19
2014M06,Број,122 Деловни згради,1
2014M06,Број,123 Згради во трговијата на големо и на мало,1
2014M06,Број,125 Индустриски згради и складишта,12
2014M06,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",3
2014M06,Број,127 Други нестанбени згради,2
2014M07,Број,11 Станови во станбени објекти (згради),314
2014M07,Број,111 Станови во објекти (згради) со еден стан,75
2014M07,Број,112 Станови во објекти (згради) со два и повеќе стана,239
2014M07,Број,12 Нестанбени згради,41
2014M07,Број,121 Хотели и слични згради,2
2014M07,Број,122 Деловни згради,1
2014M07,Број,123 Згради во трговијата на големо и на мало,6
2014M07,Број,124 Згради за сообраќај и други комуникации,1
2014M07,Број,125 Индустриски згради и складишта,20
2014M07,Број,127 Други нестанбени згради,11
2014M08,Број,11 Станови во станбени објекти (згради),165
2014M08,Број,111 Станови во објекти (згради) со еден стан,55
2014M08,Број,112 Станови во објекти (згради) со два и повеќе стана,110
2014M08,Број,12 Нестанбени згради,21
2014M08,Број,122 Деловни згради,4
2014M08,Број,123 Згради во трговијата на големо и на мало,5
2014M08,Број,124 Згради за сообраќај и други комуникации,1
2014M08,Број,125 Индустриски згради и складишта,7
2014M08,Број,127 Други нестанбени згради,4
2014M09,Број,11 Станови во станбени објекти (згради),448
2014M09,Број,111 Станови во објекти (згради) со еден стан,112
2014M09,Број,112 Станови во објекти (згради) со два и повеќе стана,336
2014M09,Број,12 Нестанбени згради,27
2014M09,Број,121 Хотели и слични згради,2
2014M09,Број,123 Згради во трговијата на големо и на мало,6
2014M09,Број,125 Индустриски згради и складишта,16
2014M09,Број,127 Други нестанбени згради,3
2014M10,Број,11 Станови во станбени објекти (згради),485
2014M10,Број,111 Станови во објекти (згради) со еден стан,102
2014M10,Број,112 Станови во објекти (згради) со два и повеќе стана,383
2014M10,Број,12 Нестанбени згради,35
2014M10,Број,121 Хотели и слични згради,2
2014M10,Број,122 Деловни згради,3
2014M10,Број,123 Згради во трговијата на големо и на мало,5
2014M10,Број,124 Згради за сообраќај и други комуникации,1
2014M10,Број,125 Индустриски згради и складишта,13
2014M10,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1
2014M10,Број,127 Други нестанбени згради,10
2014M11,Број,11 Станови во станбени објекти (згради),361
2014M11,Број,111 Станови во објекти (згради) со еден стан,115
2014M11,Број,112 Станови во објекти (згради) со два и повеќе стана,246
2014M11,Број,12 Нестанбени згради,35
2014M11,Број,122 Деловни згради,3
2014M11,Број,123 Згради во трговијата на големо и на мало,6
2014M11,Број,124 Згради за сообраќај и други комуникации,1
2014M11,Број,125 Индустриски згради и складишта,13
2014M11,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2
2014M11,Број,127 Други нестанбени згради,10
2014М12,Број,11 Станови во станбени објекти (згради),795
2014М12,Број,111 Станови во објекти (згради) со еден стан,133
2014М12,Број,112 Станови во објекти (згради) со два и повеќе стана,662
2014М12,Број,12 Нестанбени згради,45
2014М12,Број,122 Деловни згради,5
2014М12,Број,123 Згради во трговијата на големо и на мало,12
2014М12,Број,125 Индустриски згради и складишта,15
2014М12,Број,127 Други нестанбени згради,13
2015M01,Број,11 Станови во станбени објекти (згради),383
2015M01,Број,111 Станови во објекти (згради) со еден стан,104
2015M01,Број,112 Станови во објекти (згради) со два и повеќе стана,279
2015M01,Број,12 Нестанбени згради,22
2015M01,Број,121 Хотели и слични згради,2
2015M01,Број,122 Деловни згради,1
2015M01,Број,123 Згради во трговијата на големо и на мало,6
2015M01,Број,125 Индустриски згради и складишта,7
2015M01,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2
2015M01,Број,127 Други нестанбени згради,4
2015М02,Број,11 Станови во станбени објекти (згради),353
2015М02,Број,111 Станови во објекти (згради) со еден стан,89
2015М02,Број,112 Станови во објекти (згради) со два и повеќе стана,264
2015М02,Број,12 Нестанбени згради,27
2015М02,Број,121 Хотели и слични згради,1
2015М02,Број,122 Деловни згради,2
2015М02,Број,123 Згради во трговијата на големо и на мало,5
2015М02,Број,124 Згради за сообраќај и други комуникации,1
2015М02,Број,125 Индустриски згради и складишта,11
2015М02,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2
2015М02,Број,127 Други нестанбени згради,5
2015M03,Број,11 Станови во станбени објекти (згради),487
2015M03,Број,111 Станови во објекти (згради) со еден стан,77
2015M03,Број,112 Станови во објекти (згради) со два и повеќе стана,410
2015M03,Број,12 Нестанбени згради,30
2015M03,Број,121 Хотели и слични згради,1
2015M03,Број,122 Деловни згради,1
2015M03,Број,123 Згради во трговијата на големо и на мало,7
2015M03,Број,125 Индустриски згради и складишта,12
2015M03,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1
2015M03,Број,127 Други нестанбени згради,8
2015М04,Број,11 Станови во станбени објекти (згради),412
2015М04,Број,111 Станови во објекти (згради) со еден стан,67
2015М04,Број,112 Станови во објекти (згради) со два и повеќе стана,345
2015М04,Број,12 Нестанбени згради,39
2015М04,Број,121 Хотели и слични згради,4
2015М04,Број,122 Деловни згради,3
2015М04,Број,123 Згради во трговијата на големо и на мало,4
2015М04,Број,124 Згради за сообраќај и други комуникации,4
2015М04,Број,125 Индустриски згради и складишта,14
2015М04,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2
2015М04,Број,127 Други нестанбени згради,8
2015M05,Број,11 Станови во станбени објекти (згради),332
2015M05,Број,111 Станови во објекти (згради) со еден стан,82
2015M05,Број,112 Станови во објекти (згради) со два и повеќе стана,250
2015M05,Број,12 Нестанбени згради,25
2015M05,Број,122 Деловни згради,4
2015M05,Број,123 Згради во трговијата на големо и на мало,1
2015M05,Број,124 Згради за сообраќај и други комуникации,3
2015M05,Број,125 Индустриски згради и складишта,10
2015M05,Број,127 Други нестанбени згради,7
2015М06,Број,11 Станови во станбени објекти (згради),209
2015М06,Број,111 Станови во објекти (згради) со еден стан,74
2015М06,Број,112 Станови во објекти (згради) со два и повеќе стана,135
2015М06,Број,12 Нестанбени згради,27
2015М06,Број,121 Хотели и слични згради,1
2015М06,Број,123 Згради во трговијата на големо и на мало,3
2015М06,Број,124 Згради за сообраќај и други комуникации,5
2015М06,Број,125 Индустриски згради и складишта,11
2015М06,Број,127 Други нестанбени згради,7
2015М07,Број,11 Станови во станбени објекти (згради),956
2015М07,Број,111 Станови во објекти (згради) со еден стан,121
2015М07,Број,112 Станови во објекти (згради) со два и повеќе стана,835
2015М07,Број,12 Нестанбени згради,57
2015М07,Број,121 Хотели и слични згради,1
2015М07,Број,122 Деловни згради,4
2015М07,Број,123 Згради во трговијата на големо и на мало,13
2015М07,Број,124 Згради за сообраќај и други комуникации,6
2015М07,Број,125 Индустриски згради и складишта,13
2015М07,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",8
2015М07,Број,127 Други нестанбени згради,12
2015М08,Број,11 Станови во станбени објекти (згради),339
2015М08,Број,111 Станови во објекти (згради) со еден стан,68
2015М08,Број,112 Станови во објекти (згради) со два и повеќе стана,271
2015М08,Број,12 Нестанбени згради,22
2015М08,Број,121 Хотели и слични згради,1
2015М08,Број,123 Згради во трговијата на големо и на мало,5
2015М08,Број,124 Згради за сообраќај и други комуникации,1
2015М08,Број,125 Индустриски згради и складишта,7
2015М08,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1
2015М08,Број,127 Други нестанбени згради,7
2015M09,Број,11 Станови во станбени објекти (згради),376
2015M09,Број,111 Станови во објекти (згради) со еден стан,107
2015M09,Број,112 Станови во објекти (згради) со два и повеќе стана,269
2015M09,Број,12 Нестанбени згради,44
2015M09,Број,121 Хотели и слични згради,2
2015M09,Број,122 Деловни згради,8
2015M09,Број,123 Згради во трговијата на големо и на мало,5
2015M09,Број,124 Згради за сообраќај и други комуникации,4
2015M09,Број,125 Индустриски згради и складишта,13
2015M09,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",4
2015M09,Број,127 Други нестанбени згради,8
2015М10,Број,11 Станови во станбени објекти (згради),869
2015М10,Број,111 Станови во објекти (згради) со еден стан,122
2015М10,Број,112 Станови во објекти (згради) со два и повеќе стана,747
2015М10,Број,12 Нестанбени згради,28
2015М10,Број,122 Деловни згради,2
2015М10,Број,123 Згради во трговијата на големо и на мало,2
2015М10,Број,124 Згради за сообраќај и други комуникации,5
2015М10,Број,125 Индустриски згради и складишта,8
2015М10,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",3
2015М10,Број,127 Други нестанбени згради,8
2015М11,Број,11 Станови во станбени објекти (згради),539
2015М11,Број,111 Станови во објекти (згради) со еден стан,128
2015М11,Број,112 Станови во објекти (згради) со два и повеќе стана,411
2015М11,Број,12 Нестанбени згради,37
2015М11,Број,121 Хотели и слични згради,9
2015М11,Број,122 Деловни згради,1
2015М11,Број,123 Згради во трговијата на големо и на мало,9
2015М11,Број,124 Згради за сообраќај и други комуникации,4
2015М11,Број,125 Индустриски згради и складишта,5
2015М11,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1
2015М11,Број,127 Други нестанбени згради,8
2015М12,Број,11 Станови во станбени објекти (згради),919
2015М12,Број,111 Станови во објекти (згради) со еден стан,125
2015М12,Број,112 Станови во објекти (згради) со два и повеќе стана,794
2015М12,Број,12 Нестанбени згради,55
2015М12,Број,121 Хотели и слични згради,2
2015М12,Број,122 Деловни згради,3
2015М12,Број,123 Згради во трговијата на големо и на мало,4
2015М12,Број,124 Згради за сообраќај и други комуникации,3
2015М12,Број,125 Индустриски згради и складишта,26
2015М12,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",4
2015М12,Број,127 Други нестанбени згради,13
2016М01,Број,11 Станови во станбени објекти (згради),319
2016М01,Број,111 Станови во објекти (згради) со еден стан,78
2016М01,Број,112 Станови во објекти (згради) со два и повеќе стана,241
2016М01,Број,12 Нестанбени згради,46
2016М01,Број,121 Хотели и слични згради,1
2016М01,Број,122 Деловни згради,6
2016М01,Број,123 Згради во трговијата на големо и на мало,9
2016М01,Број,124 Згради за сообраќај и други комуникации,1
2016М01,Број,125 Индустриски згради и складишта,24
2016М01,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",3
2016М01,Број,127 Други нестанбени згради,2
2016M02,Број,11 Станови во станбени објекти (згради),848
2016M02,Број,111 Станови во објекти (згради) со еден стан,113
2016M02,Број,112 Станови во објекти (згради) со два и повеќе стана,735
2016M02,Број,12 Нестанбени згради,43
2016M02,Број,121 Хотели и слични згради,7
2016M02,Број,122 Деловни згради,1
2016M02,Број,123 Згради во трговијата на големо и на мало,9
2016M02,Број,124 Згради за сообраќај и други комуникации,3
2016M02,Број,125 Индустриски згради и складишта,15
2016M02,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",4
2016M02,Број,127 Други нестанбени згради,4
2016М03,Број,11 Станови во станбени објекти (згради),527
2016М03,Број,111 Станови во објекти (згради) со еден стан,58
2016М03,Број,112 Станови во објекти (згради) со два и повеќе стана,469
2016М03,Број,12 Нестанбени згради,31
2016М03,Број,121 Хотели и слични згради,2
2016М03,Број,122 Деловни згради,2
2016М03,Број,123 Згради во трговијата на големо и на мало,6
2016М03,Број,124 Згради за сообраќај и други комуникации,2
2016М03,Број,125 Индустриски згради и складишта,12
2016М03,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",3
2016М03,Број,127 Други нестанбени згради,4
2016M04,Број,11 Станови во станбени објекти (згради),461
2016M04,Број,111 Станови во објекти (згради) со еден стан,78
2016M04,Број,112 Станови во објекти (згради) со два и повеќе стана,383
2016M04,Број,12 Нестанбени згради,33
2016M04,Број,121 Хотели и слични згради,1
2016M04,Број,122 Деловни згради,4
2016M04,Број,123 Згради во трговијата на големо и на мало,6
2016M04,Број,124 Згради за сообраќај и други комуникации,2
2016M04,Број,125 Индустриски згради и складишта,14
2016M04,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",3
2016M04,Број,127 Други нестанбени згради,3
2016M05,Број,11 Станови во станбени објекти (згради),750
2016M05,Број,111 Станови во објекти (згради) со еден стан,79
2016M05,Број,112 Станови во објекти (згради) со два и повеќе стана,671
2016M05,Број,12 Нестанбени згради,43
2016M05,Број,121 Хотели и слични згради,2
2016M05,Број,122 Деловни згради,4
2016M05,Број,123 Згради во трговијата на големо и на мало,6
2016M05,Број,124 Згради за сообраќај и други комуникации,2
2016M05,Број,125 Индустриски згради и складишта,18
2016M05,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",3
2016M05,Број,127 Други нестанбени згради,8
2016M06,Број,11 Станови во станбени објекти (згради),857
2016M06,Број,111 Станови во објекти (згради) со еден стан,87
2016M06,Број,112 Станови во објекти (згради) со два и повеќе стана,770
2016M06,Број,113 Станови на заедници,1
2016M06,Број,12 Нестанбени згради,27
2016M06,Број,122 Деловни згради,3
2016M06,Број,123 Згради во трговијата на големо и на мало,5
2016M06,Број,125 Индустриски згради и складишта,12
2016M06,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",5
2016M06,Број,127 Други нестанбени згради,2
2016M07,Број,11 Станови во станбени објекти (згради),711
2016M07,Број,111 Станови во објекти (згради) со еден стан,109
2016M07,Број,112 Станови во објекти (згради) со два и повеќе стана,602
2016M07,Број,12 Нестанбени згради,39
2016M07,Број,121 Хотели и слични згради,3
2016M07,Број,122 Деловни згради,3
2016M07,Број,123 Згради во трговијата на големо и на мало,7
2016M07,Број,124 Згради за сообраќај и други комуникации,3
2016M07,Број,125 Индустриски згради и складишта,9
2016M07,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",5
2016M07,Број,127 Други нестанбени згради,9
2016M08,Број,11 Станови во станбени објекти (згради),276
2016M08,Број,111 Станови во објекти (згради) со еден стан,97
2016M08,Број,112 Станови во објекти (згради) со два и повеќе стана,179
2016M08,Број,12 Нестанбени згради,30
2016M08,Број,121 Хотели и слични згради,2
2016M08,Број,122 Деловни згради,4
2016M08,Број,123 Згради во трговијата на големо и на мало,5
2016M08,Број,125 Индустриски згради и складишта,12
2016M08,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2
2016M08,Број,127 Други нестанбени згради,5
2016M09,Број,11 Станови во станбени објекти (згради),1009
2016M09,Број,111 Станови во објекти (згради) со еден стан,106
2016M09,Број,112 Станови во објекти (згради) со два и повеќе стана,903
2016M09,Број,12 Нестанбени згради,38
2016M09,Број,121 Хотели и слични згради,1
2016M09,Број,123 Згради во трговијата на големо и на мало,6
2016M09,Број,124 Згради за сообраќај и други комуникации,3
2016M09,Број,125 Индустриски згради и складишта,19
2016M09,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2
2016M09,Број,127 Други нестанбени згради,7
